,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Trent Alexander-Arnold,285,Liverpool,DEF,75,64,0,0,0,1,0,0,0,0,0,0,0,19,19.2,30.3,6.0,5.6,1,0.07,0.10,0.17,0.80,2,False
Joseph Gomez,286,Liverpool,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Naby Keita,287,Liverpool,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Diogo Teixeira da Silva,288,Liverpool,FWD,90,45,0,0,0,0,0,0,0,0,0,0,0,2,6.2,2.9,27.0,3.6,0,0.16,0.01,0.17,0.06,1,False
Caoimhin Kelleher,289,Liverpool,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ibrahima Konaté,290,Liverpool,DEF,50,90,0,0,0,1,0,0,0,1,0,0,0,14,26.0,2.6,4.0,3.3,1,0.06,0.02,0.08,0.86,1,False
Curtis Jones,291,Liverpool,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Konstantinos Tsimikas,292,Liverpool,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Luis Díaz,293,Liverpool,MID,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Harvey Elliott,294,Liverpool,MID,50,45,0,0,0,1,0,0,0,0,0,0,0,7,1.8,2.5,0.0,0.4,1,0.00,0.09,0.09,0.80,1,False
Neco Williams,295,Nott'm Forest,DEF,40,17,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.4,0.0,0.2,0,0.00,0.00,0.00,0.34,1,False
Fábio Freitas Gouveia Carvalho,296,Liverpool,MID,55,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,0.0,0.1,0,0.00,0.00,0.00,0.03,1,False
Darwin Núñez Ribeiro,297,Liverpool,FWD,90,65,0,0,0,1,0,0,0,0,0,0,0,3,7.6,2.1,15.0,2.5,1,0.03,0.02,0.05,0.80,2,False
Calvin Ramsay,298,Liverpool,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kyle Walker,299,Man City,DEF,50,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,1,False
Ilkay Gündogan,300,Man City,MID,75,90,0,1,1,0,0,0,0,0,0,0,0,20,7.2,26.0,8.0,4.1,1,0.00,0.05,0.05,0.17,6,False
Kevin De Bruyne,301,Man City,MID,120,11,0,0,0,0,0,0,0,0,0,0,0,5,3.4,0.3,0.0,0.4,0,0.00,0.00,0.00,0.09,1,False
John Stones,302,Man City,DEF,55,88,0,0,1,0,0,0,0,0,0,0,3,25,25.0,15.3,6.0,4.6,1,0.00,0.03,0.03,0.17,9,False
Riyad Mahrez,303,Man City,MID,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Raheem Sterling,304,Chelsea,MID,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jack Grealish,305,Man City,MID,70,90,0,0,1,0,0,0,0,0,0,0,0,15,13.6,35.8,5.0,5.4,1,0.07,0.22,0.29,0.17,3,False
João Cancelo,306,Man City,DEF,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
